hs_object_id,jobtitle,company_domain,icp_title_tier,icp_seller_flag,icp_classification_reason
488453719245,Information Security Analyst III,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
488445638855,Chief Technology Risk,,out_of_scope,FALSE,Risk or compliance role outside security remit.
492419880175,Manager,,unknown,FALSE,"Title too generic to place, needs enrichment."
505320659149,Information Security Office,,unknown,FALSE,"Title too generic to place, needs enrichment."
505341021385,Cyber - Information Security Office (ISO),,tier_2,FALSE,"Information Security Officer, security function owner."
505852408001,Information Security Office - Card,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
531020420339,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
531024281843,Information Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
535210783957,Manager,,unknown,FALSE,"Title too generic to place, needs enrichment."
578996251859,Security Governance,,unknown,FALSE,"Title too generic to place, needs enrichment."
590765595868,Senior Cybersecurity and Compliance SME,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
600936717541,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
603536328923,CEO,,out_of_scope,FALSE,Executive role outside security remit.
609891417298,CTO,,out_of_scope,FALSE,Executive role outside security remit.
636246572260,"meet Oriel Vaturi, co-founder and CEO of Ovalix Security",,out_of_scope,FALSE,"Ovalix employee record, not a prospect."
641133256897,Manager,,unknown,FALSE,"Title too generic to place, needs enrichment."
646447126754,"Governance, Risk, and Compliance Security Analyst",,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
669705810145,"Senior Governance, Risk, and Compliance Analyst",,out_of_scope,FALSE,Risk or compliance role outside security remit.
669705810151,"Governance, Risk Management, and Compliance Specialist",,out_of_scope,FALSE,Risk or compliance role outside security remit.
669705810153,IT Security Intern,,out_of_scope,FALSE,"Intern, not a decision maker or influencer."
679474433224,Analyst,,unknown,FALSE,"Title too generic to place, needs enrichment."
682609411307,Analyst,,unknown,FALSE,"Title too generic to place, needs enrichment."
698708075727,Cybersecurity Specialist,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
702693385409,Information Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
710917867707,Information Security and Compliance,,unknown,FALSE,"Title too generic to place, needs enrichment."
710450219201,"Vice President, Governance, Risk & Compliance",,out_of_scope,FALSE,Risk or compliance role outside security remit.
711019117790,"Member, Global Future Council (GFC) On Cybersecurity",,unknown,FALSE,"Council membership, not a job title."
710957131986,Information Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
710941332696,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
712434106587,"Governance, Risk, and Compliance Specialist",,out_of_scope,FALSE,Risk or compliance role outside security remit.
712633607403,Senior Information Security analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
714023276784,IT GRC,,unknown,FALSE,"Title too generic to place, needs enrichment."
713972077776,IT Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
714008873152,Info Security Specialist,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
713704787172,Senior Cybersecurity Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
721274256576,Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
721274258646,Cybersecurity Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
723208304857,Information Security,,unknown,FALSE,"Title too generic to place, needs enrichment."
723139631341,Cyber Intelligence,,unknown,FALSE,"Title too generic to place, needs enrichment."
723132443878,Exec Dir InfoSec & Risk Mgmt,,tier_2,FALSE,Director-level security function owner.
723188487360,Business Risk Advisor,,out_of_scope,FALSE,Risk or compliance role outside security remit.
723155857632,Cybersecurity,,unknown,FALSE,"Title too generic to place, needs enrichment."
723136052451,Senior Cybersecurity Compliance,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
723188487361,Security Risk Management,,unknown,FALSE,"Title too generic to place, needs enrichment."
723179499735,VP Operational Risk Management,,out_of_scope,FALSE,Risk or compliance role outside security remit.
723170511039,GRC Admin,,out_of_scope,FALSE,Risk or compliance role outside security remit.
732142188747,Principal CyberSecurity,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
732115358943,Principal Risk Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
731935385803,ISO,,tier_2,FALSE,"Information Security Officer, security function owner."
732248558801,Principal Cybersecurity,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
732246695158,"Senior Associate, Cybersecurity",,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
732248558802,Senior Risk and Control Associate,,out_of_scope,FALSE,Risk or compliance role outside security remit.
732252082362,Information Security,,unknown,FALSE,"Title too generic to place, needs enrichment."
732246703324,GRC,,unknown,FALSE,"Title too generic to place, needs enrichment."
731926365410,Principal of Information Security GRC,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
731926365411,SO,,unknown,FALSE,"Title too short to place, needs enrichment."
732065159391,Risk,,unknown,FALSE,"Title too generic to place, needs enrichment."
732228720841,Senior Information Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
731930026206,Infosec Compliance Admin,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
732151014636,Cyber Strategy Principal,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
731944357096,CyberSecurity Management,,unknown,FALSE,"Title too generic to place, needs enrichment."
731949798588,Cybersecurity,,unknown,FALSE,"Title too generic to place, needs enrichment."
732235944142,Cyber Security,,unknown,FALSE,"Title too generic to place, needs enrichment."
732159426787,Security Risk,,unknown,FALSE,"Title too generic to place, needs enrichment."
732257515761,GRC Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
731949798590,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
732154444017,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
732244919484,Principal Information Security Risk Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
732226908351,GRC Principal,,out_of_scope,FALSE,Risk or compliance role outside security remit.
736234540280,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
740890776790,IT,,unknown,FALSE,"Title too generic to place, needs enrichment."
740890777817,Senior GRC Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
742660468978,Manager,,unknown,FALSE,"Title too generic to place, needs enrichment."
745773390062,Risk IT,,unknown,FALSE,"Title too generic to place, needs enrichment."
745744536799,Cyber Security Data Scientist,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
753361164528,"Risk Analyst, Cyber GRC",,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
764989910237,CEO,,out_of_scope,FALSE,Executive role outside security remit.
773461853409,Analyst,,unknown,FALSE,"Title too generic to place, needs enrichment."
776224439489,IT,,unknown,FALSE,"Title too generic to place, needs enrichment."
781377567939,MANAGER,,unknown,FALSE,"Title too generic to place, needs enrichment."
781377567944,Manager,,unknown,FALSE,"Title too generic to place, needs enrichment."
775991263420,CSO,,tier_1,FALSE,"Chief Security Officer, executive security leadership."
795199760620,Cyber AI Specialist Intern,,out_of_scope,FALSE,"Intern, not a decision maker or influencer."
795246020849,"Governance, Risk, And Compliance Analyst",,out_of_scope,FALSE,Risk or compliance role outside security remit.
795142113473,Principal Cybersecurity M&A,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
795142155467,Cybersecurity Strategy & R&d,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
795142115523,Sr. Info Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
794191468766,Plm,,unknown,FALSE,"Title too short to place, needs enrichment."
795868670143,InfoSec Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
796520672452,Network Cybersecurity Specialist,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
802544180471,Senior Cyber Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
805104458988,Cybersecurity,,unknown,FALSE,"Title too generic to place, needs enrichment."
813190445263,Cybersecurity Risk Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
813190445265,Principal Cybersecurity Professional,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
838300810485,IT Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
848010915060,Infrastructure Security Analyst,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
858371742963,Analyst,,unknown,FALSE,"Title too generic to place, needs enrichment."
860339894475,Manager,,unknown,FALSE,"Title too generic to place, needs enrichment."
